"","Specimen.number","LVD","Plant.ID"
"1","41876",5.684,"DH23"
"2","41882",4.451,"DH14"
"3","41886",5.619,"DH19"
"4","41887",5.849,"DH18"
"5","5726",9.82,"DH03"
"6","5730",10.857,"DH03"
"7","5732",6.194,"DH12"
"8","5735",8.193,"DH03"
"9","5740",2.902,"DH12"
"10","5741",6.395,"DH03"
"11","5745",3.053,"DH12"
"12","5764",7.289,"DH14"
"13","5765",8.539,"DH07"
"14","5770",5.803,"DH19"
"15","5777",3.747,"DH16"
"16","5778",6.501,"DH19"
"17","5787",3.221,"DH12"
"18","5789",5.605,"DH14"
"19","5811",7.914,"DH07"
"20","5814",5.89,"DH03"
"21","5824",7.755,"DH08"
"22","5842",6.018,"DH18"
"23","5853",6.02,"DH18"
"24","5875",6.745,"DH05"
"25","5883",7.108,"DH05"
"26","5886",4.117,"DH01"
"27","5945",3.642,"DH01"
"28","5946",5.172,"DH02"
"29","5947",4.628,"DH02"
"30","5949",4.591,"DH02"
"31","5954",5.293,"DH14"
"32","5974",3.773,"DH12"
"33","5974",3.773,"DH12"
"34","6323",5.2,"DH02"
"35","7034",5.842,"DH18"
"36","7037",8.051,"DH05"
"37","7040.1",8.907,"DH08"
"38","7040.2",7.95,"DH08"
"39","7049",4.071,"DH16"
"40","7917",5.547,"DH14"
"41","7918",5.152,"DH12"
"42","7921",8.981,"DH12"
"43","7925",7.772,"DH03"
"44","7926",5.001,"DH14"
"45","7930",5.738,"DH14"
"46","7932",5.758,"DH08"
"47","7932",5.758,"DH14"
"48","7932",8.628,"DH08"
"49","7932",8.628,"DH14"
"50","7939",5.988,"DH14"
"51","7943",4.592,"DH12"
"52","7964",3.122,"DH12"
"53","7973",6.914,"DH12"
"54","7977",4.505,"DH14"
"55","7979",6.843,"DH14"
"56","7981",9.442,"DH12"
"57","7983",9.432,"DH12"
"58","7985",5.454,"DH12"
"59","7991",8.186,"DH07"
"60","8035",6.761,"DH07"
"61","8050",6.704,"DH12"
"62","8057",4.411,"DH02"
"63","8058",4.191,"DH02"
"64","8059",4.503,"DH02"
"65","8060",4.618,"DH01"
"66","8064",9.838,"DH08"
"67","8115",4.674,"DH16"
"68","8120",8.18,"DH12"
"69","8127",4.29,"DH14"
"70","8152",3.101,"DH01"
"71","8180",9.984,"DH08"
"72","8186",6.732,"DH08"
"73","8204",6.205,"DH18"
"74","8310",7.058,"DH12"
"75","8329",5.481,"DH12"
"76","8333",7.997,"DH03"
"77","8373",9.832,"DH08"
"78","8377",6.94,"DH07"
"79","8390",4.951,"DH02"
"80","8600",6.197,"DH03"
"81","8607",5.504,"DH02"
"82","8610",7.253,"DH07"
"83","8637",6.286,"DH19"
"84","8641",3.133,"DH01"
"85","8643",4.578,"DH14"
"86","8648",6.409,"DH07"
"87","9017",8.125,"DH08"
"88","9019",5.31,"DH01"
"89","9022",5.594,"DH18"
"90","9028",7.8,"DH03"
"91","9030",6.392,"DH07"
"92","41881",5.051,"DH12"
"93","5729",7.215,"DH05"
"94","5743",6.813,"DH03"
"95","5751",6.56,"DH19"
"96","5763",5.638,"DH14"
"97","5772",7.054,"DH14"
"98","5776",8.195,"DH08"
"99","5797",3.446,"DH18"
"100","5804",8.193,"DH08"
"101","5852",4.939,"DH18"
"102","5951",6.266,"DH12"
"103","7031",4.196,"DH23"
"104","7937",6.518,"DH02"
"105","7938",5.26,"DH14"
"106","7966",3.069,"DH12"
"107","7975",4.637,"DH14"
"108","7980",3.528,"DH12"
"109","7984",5.291,"DH12"
"110","7986",5.417,"DH03"
"111","7994.1",8.008,"DH08"
"112","7994.2",9.66,"DH08"
"113","8045",8.762,"DH08"
"114","8088",6.986,"DH07"
"115","8132",4.198,"DH02"
"116","8145",7.531,"DH12"
"117","8168",7.297,"DH08"
"118","8178",7.485,"DH08"
"119","8197",7.735,"DH03"
"120","8205",4.012,"DH01"
"121","8332",7.694,"DH12"
"122","8352",7.126,"DH03"
"123","8389",4.07,"DH02"
"124","8634",6.846,"DH12"
"125","8636",5.485,"DH12"
